word,deprel,score
water,pobj,0.04650455715435752
water,pobj,0.03236644982650161
water,pobj,0.07595804321261634
water,pobj,0.07008758311301011
water,pobj,0.10049522955446276
baby,nn,0.01902802981188512
baby,conj,0.1322031429765822
baby,conj,0.08196980124332222
water,root,0.033809715264889184
zebra,pobj,0.6574856684506172
zebra,root,0.3163238493462429
water,pobj,0.12887203453379514
water,conj,0.0727331097235955
stove,pobj,0.06917403292779624
stove,pobj,0.06571406397308
stove,nn,0.2467409895747681
stove,nn,0.3611523521279976
light,amod,0.00923289174373687
stove,pobj,0.07840575163212316
stove,dobj,0.06874295180984956
stove,conj,0.11512159914941522
light,conj,0.19498376909650786
light,root,0.16478549593187966
light,nsubj,0.2230061420328776
light,conj,0.05355975037832028
clock,dobj,0.35844395032969373
clock,nn,0.16813901239642426
clock,nn,0.42907722543142
zebra,conj,0.1232434545349942
zebra,pobj,0.16924315768363526
zebra,pobj,0.21943014954317108
zebra,conj,0.2877183076475964
zebra,conj,0.14013874852176098
light,nsubj,0.26165985260498936
light,root,0.1233646664411272
light,root,0.6880061324176181
light,root,0.412625673183514
light,iobj,0.09368326951592665
light,conj,0.11465896196434222
light,root,0.10209072411780673
light,pobj,0.03484148469049242
light,conj,0.03601504463755656
light,root,0.04835462462954565
light,pobj,0.038389820792151697
water,pobj,0.021120839119347482
water,pobj,0.05066306743722171
water,pobj,0.08970321185442387
water,pobj,0.2681994412676637
water,nn,0.04937492357093176
baby,nn,0.06895759016449365
baby,nn,0.021734817243503683
baby,nn,0.032743165949872144
water,pobj,0.3927885853672813
water,pobj,0.15909087339314987
water,pobj,0.07203081699014446
water,pobj,0.22512986515081312
water,pobj,0.3020041088033467
water,pobj,0.15482401973490634
water,nn,0.12004693098621065
water,pobj,0.031157888626293317
water,pobj,0.13870214406740455
water,pobj,0.02733602477518071
water,nsubj,0.0638671949039673
water,pobj,0.11235556221543684
water,pobj,0.13897568973028462
water,pobj,0.02146878027694088
water,pobj,0.005034118358918426
water,pobj,0.06239897871592681
water,pobj,0.05314440012154398
water,pobj,0.05372570952813738
water,pobj,0.021778194462854228
water,pobj,0.37865753568134297
zebra,nn,0.6517455527655156
zebra,root,0.7107752464738379
water,nn,0.09060725374954326
water,pobj,0.03068279998306533
water,nn,0.10766617670785672
water,nn,0.05330634168661852
water,nn,0.4770950942534732
water,pobj,0.33364034587962543
water,nn,0.07255265326861236
water,pobj,0.05679923429418365
water,pobj,0.5475158906090052
water,pobj,0.06355302760857073
water,pobj,0.2623913629367929
water,pobj,0.593526992546645
water,pobj,0.3443392416499258
stove,pobj,0.12284973052491288
stove,pobj,0.2771700557747503
stove,pobj,0.1518845877309244
stove,pobj,0.15468733602411744
stove,pobj,0.18966997726773704
clock,conj,0.1646184442812454
light,amod,0.08441411860564896
clock,pobj,0.29400494016478385
clock,nsubj,0.491425978614863
clock,root,0.566291952296621
clock,nsubj,0.5221395382953148
clock,pobj,0.07183544534353714
clock,nn,0.03194510470415357
clock,dobj,0.16408967159769916
